0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
7,24,69,72,189,292,282,54,38,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,8,13,48,79,220,68,62,19,5,2,1,0,0,0,0,0,0,0,0,0,0,0
4,26,55,58,158,273,280,58,43,9,4,2,2,0,0,0,0,0,0,0,0,0,0,0
0,2,4,6,29,85,188,73,78,26,7,8,0,0,0,0,0,0,0,0,0,0,0,0
0,3,5,11,39,105,229,79,79,23,8,5,0,0,0,0,0,0,0,0,0,0,0,0
1,4,7,15,38,106,178,77,60,29,8,6,0,0,1,0,0,0,0,0,0,0,0,0
0,11,13,23,52,143,193,81,44,19,9,2,2,1,0,0,0,0,0,0,0,0,0,0
0,7,16,16,59,166,234,83,79,12,5,3,0,0,0,0,0,0,0,0,0,0,0,0
2,7,11,11,59,152,241,85,60,25,9,3,1,0,0,0,0,0,0,0,0,0,0,0
0,8,10,9,59,117,238,95,92,27,11,1,4,0,0,0,0,0,0,0,0,0,0,0
0,1,14,7,54,99,203,75,77,29,6,4,2,1,0,0,0,0,0,0,0,0,0,0
4,10,17,23,84,176,271,89,55,20,4,3,1,1,0,0,0,0,0,0,0,0,0,0
3,14,37,22,107,221,311,56,59,17,4,1,3,0,0,0,0,0,0,0,0,0,0,0
0,11,36,29,114,211,273,79,43,18,3,2,0,0,0,0,0,0,0,0,0,0,0,0
2,17,35,39,139,248,274,83,55,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0
3,17,40,31,132,268,262,54,63,17,3,1,1,0,0,0,0,0,0,0,0,0,0,0
4,54,100,81,227,318,263,56,21,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0
11,51,94,85,177,306,241,48,42,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,50,115,87,227,312,231,40,40,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0
8,49,96,74,215,339,265,56,51,13,4,0,1,1,0,0,0,0,0,0,0,0,0,0
12,41,96,75,213,330,269,67,32,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,40,88,71,218,321,247,57,33,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0
4,36,97,77,215,326,240,47,35,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0
9,46,79,62,211,288,250,54,41,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,29,85,76,218,317,287,67,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41,70,65,216,335,241,68,47,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,19,82,55,176,279,269,70,33,12,4,1,0,0,0,0,0,0,0,0,0,0,0,0
7,41,72,67,200,304,270,60,38,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
12,61,130,106,282,366,257,54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,66,118,105,252,317,216,40,19,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10,54,125,79,248,339,236,40,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,57,93,104,249,302,252,45,40,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,52,113,65,231,314,270,40,26,11,2,0,1,1,0,0,0,0,0,0,0,0,0,0
6,41,105,84,227,347,264,55,33,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40,97,77,227,299,287,69,36,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,34,90,71,223,298,289,49,44,15,2,1,1,0,0,0,0,0,0,0,0,0,0,0
10,36,91,76,228,301,233,53,31,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,58,95,85,253,316,254,40,23,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,53,120,97,230,309,223,62,26,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0
7,39,83,74,217,309,244,62,50,11,2,3,1,0,0,0,0,0,0,0,0,0,0,0
7,44,90,61,227,328,260,51,36,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0
12,48,86,77,203,307,244,38,30,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0
3,52,99,77,228,294,274,44,30,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,46,83,72,170,306,283,53,45,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,40,71,55,194,275,270,76,59,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,45,76,67,180,311,301,58,42,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
8,52,72,74,193,288,242,53,56,5,2,2,1,0,0,0,0,0,0,0,0,0,0,0
8,37,73,64,216,299,257,76,36,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3,33,68,59,162,294,281,59,39,11,4,0,3,0,0,0,0,0,0,0,0,0,0,0
4,25,64,61,157,270,269,61,36,7,7,3,0,1,0,0,0,0,0,0,0,0,0,0
6,18,41,40,144,209,253,79,59,15,4,2,0,0,0,0,0,0,0,0,0,0,0,0
0,20,52,65,180,263,269,54,49,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0
0,26,62,43,145,258,275,68,45,15,10,0,1,0,0,0,0,0,0,0,0,0,0,0
2,21,43,29,105,211,260,68,50,15,9,4,0,0,0,0,0,0,0,0,0,0,0,0
4,11,42,37,131,245,277,74,64,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0
